,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
18395,1993-01-30,India,Cameroon,2,2,Nehru Cup,Madras,India,False
18404,1993-01-31,North Korea,Finland,3,2,Nehru Cup,Madras,India,True
19799,1995-03-08,Iraq,Uzbekistan,3,1,Nehru Cup,Calcutta,India,True
19802,1995-03-10,India,Thailand,0,5,Nehru Cup,Calcutta,India,False
19804,1995-03-12,India,Iraq,1,1,Nehru Cup,Calcutta,India,False
19806,1995-03-14,India,Uzbekistan,1,0,Nehru Cup,Calcutta,India,False
19807,1995-03-14,Iraq,Thailand,3,1,Nehru Cup,Calcutta,India,True
19809,1995-03-16,Thailand,Uzbekistan,0,1,Nehru Cup,Calcutta,India,True
21410,1997-03-30,China PR,Iraq,0,2,Nehru Cup,Kochi,India,True
21418,1997-04-01,India,China PR,0,0,Nehru Cup,Kochi,India,False
21443,1997-04-03,China PR,Ghana,0,0,Nehru Cup,Kochi,India,True
21457,1997-04-06,India,Iraq,0,1,Nehru Cup,Kochi,India,False
21464,1997-04-08,India,Ghana,2,2,Nehru Cup,Kochi,India,False
21467,1997-04-10,India,Iraq,1,1,Nehru Cup,Kochi,India,False
21469,1997-04-11,India,China PR,1,2,Nehru Cup,Kochi,India,False
22791,1998-11-16,India,Uzbekistan,0,0,Friendly,New Delhi,India,False
22811,1998-11-19,India,Uzbekistan,0,4,Friendly,Calcutta,India,False
23080,1999-04-22,India,Bangladesh,0,0,SAFF Cup,Margao,India,False
23082,1999-04-23,Sri Lanka,Maldives,0,0,SAFF Cup,Margao,India,True
23084,1999-04-24,Pakistan,Bangladesh,0,4,SAFF Cup,Margao,India,True
23085,1999-04-25,Sri Lanka,Nepal,2,3,SAFF Cup,Margao,India,True
23087,1999-04-26,India,Pakistan,2,0,SAFF Cup,Margao,India,False
23088,1999-04-27,Nepal,Maldives,2,3,SAFF Cup,Margao,India,True
23106,1999-04-29,Bangladesh,Nepal,2,1,SAFF Cup,Margao,India,True
